! $Header: /cvs/xtest/xtest/xts5/tset/Xlib4/MapSubwindows/a1.dat,v 1.1 2005-02-12 14:37:34 anderson Exp $
100 90 32
3f2,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
a,1
28,3
32,0
a,1
19,3
28,4
19,0
a,1
19,3
28,4
19,0
a,1
19,3
28,4
19,0
a,1
19,3
28,4
19,0
a,1
19,3
28,4
19,0
a,1
19,3
28,4
19,0
a,1
19,3
28,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
19,0
a,1
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
11,2
a,3
28,5
f,4
12,0
1b,2
28,5
f,4
12,0
1b,2
28,5
21,0
1b,2
28,5
21,0
1b,2
28,5
21,0
1b,2
28,5
21,0
1b,2
28,5
21,0
1b,2
28,5
21,0
1b,2
28,5
21,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
3c,0
28,2
421,0
