! $Header: /cvs/xtest/xtest/xts5/tset/Xlib4/mprsd/a4.dat,v 1.1 2005-02-12 14:37:34 anderson Exp $
100 90 32
7e4,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
9,2
5,3
6,2
f,1
3c,0
5,1
9,2
5,3
6,2
f,1
3c,0
5,1
9,2
5,3
6,2
f,1
3c,0
5,1
9,2
5,3
6,2
f,1
3c,0
5,1
9,2
5,3
6,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
5,1
14,2
f,1
3c,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
5,0
9,4
2e,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
3c,0
28,1
be0,0
