! $Header: /cvs/xtest/xtest/xts5/tset/Xlib4/rstckwdws/a3.dat,v 1.1 2005-02-12 14:37:34 anderson Exp $
100 90 32
3f2,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
5,5
5,6
5,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,1
1e,4
a,0
f,5
14,0
19,3
1e,4
a,0
f,5
14,0
19,3
1e,4
a,0
f,5
14,0
19,3
1e,4
a,0
f,5
14,0
19,3
1e,4
a,0
f,5
14,0
19,3
1e,4
a,0
f,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
5,5
5,7
5,5
14,0
1e,3
19,2
a,0
f,5
14,0
1e,3
19,2
a,0
f,5
14,0
1e,3
19,2
a,0
f,5
14,0
1e,3
19,2
a,0
f,5
14,0
1e,3
19,2
a,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
55,0
f,5
3f2,0
