! $Header: /cvs/xtest/xtest/xts5/tset/Xlib9/XDrawImageString/a3.dat,v 1.1 2005-02-12 14:37:38 anderson Exp $
100 90 32
2,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
588,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
f,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
11,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
588,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
f,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
11,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
588,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
f,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
11,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
588,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
e,0
2,1
2,0
2,1
f,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
10,0
4,1
11,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
12,0
2,1
394,0
